kit,component
ArkUI,arkui_ace_engine
ArkUI,window_window_manager
ArkTS,arkcompiler_ets_runtime
ArkGraphics2D,graphic_graphic_2d
BasicServicesKit,distributeddatamgr_pasteboard
ArkWeb,web_webview
ConnectivityKit,communication_bluetooth
ConnectivityKit,communication_nfc
ConnectivityKit,communication_wifi
AbilityKit,ability_ability_runtime
AbilityKit,ability_dmsfwk
AbilityKit,bundlemanager_bundle_framework
AbilityKit,security_access_token
ImageKit,multimedia_image_framework
AudioKit,multimedia_audio_framework
ContactsKit,applications_contacts_data
AccessibilityKit,accessibility
AdsKit,advertising_ads_framework
AdsKit,advertising_oaid
ArkData,distributeddatamgr_data_share
ArkData,distributeddatamgr_kv_store
ArkData,distributeddatamgr_preferences
ArkData,distributeddatamgr_relational_store
ArkData,distributeddatamgr_udmf
ArkGraphics3D,graphic_graphic_3d
AssetStoreKit,security_asset
AVCodecKit,multimedia_av_codec
AVSessionKit,multimedia_av_session
BackgroundTasksKit,resourceschedule_background_task_mgr
BackgroundTasksKit,resourceschedule_resource_schedule_service
BackgroundTasksKit,resourceschedule_work_scheduler
CalendarKit,applications_calendar_data
CameraKit,multimedia_camera_framework
CoreFileKit,filemanagement_app_file_service
CoreFileKit,filemanagement_dfs_service
CoreFileKit,filemanagement_file_api
CoreFileKit,filemanagement_storage_service
CoreFileKit,filemanagement_user_file_service
CryptoArchitectureKit,security_crypto_framework
DataProtectionKit,security_dlp_permission_service
DeviceCertificateKit,security_certificate_framework
DeviceCertificateKit,security_certificate_manager
DistributedServiceKit,distributedhardware_device_manager
DriverDevelopmentKit,drivers_external_device_manager
DrmKit,multimedia_drm_framework
FormKit,ability_form_fwk
FunctionFlowRuntimeKit,resourceschedule_ffrt
GameControllerKit,game_game_controller_framework

IMEKit,inputmethod_imf
IMEKit,miscservices_inputmethod
InputKit,multimodalinput_input
IPCKit,communication_ipc
KernelEnhanceKit,kernel_linux_build
LocalizationKit,global_i18n
LocalizationKit,global_resource_management
LocationKit,base_location
MDMKit,customization_enterprise_device_management
MechanicKit,distributedhardware_mechbody_controller
MediaKit,multimedia_player_framework
MediaKit,multimedia_video_processing_engine
MediaLibraryKit,multimedia_media_library
MindSporeLiteKit,third_party_mindspore
MultimodalAwarenessKit,msdp_device_status
NetworkKit,communication_netmanager_base
NetworkKit,communication_netstack
NetworkKit,communication_netmanager_ext
NeuralNetworkRuntimeKit,ai_neural_network_runtime
NotificationKit,notification_common_event_service
NotificationKit,notification_distributed_notification_service
PerformanceAnalysisKit,developtools_profiler
PerformanceAnalysisKit,hiviewdfx_hiappevent
PerformanceAnalysisKit,hiviewdfx_hicollie
PerformanceAnalysisKit,hiviewdfx_hiview
SensorServiceKit,sensors_miscdevice
SensorServiceKit,sensors_sensor
TEEKit,tee_tee_dev_kit
TelephonyKit,telephony_call_manager
TelephonyKit,telephony_cellular_data
TelephonyKit,telephony_core_service
TelephonyKit,telephony_state_registry
TestKit,testfwk_arkxtest
UniversalKeystoreKit,security_huks
UserAuthenticationKit,useriam_face_auth
